gene	average_neighbors
TGFBR1	651.4302788844622
SMURF1	942.5089463220676
CDH5	675.6677115987461
TGFBR2	786.795584627964
ARHGDIB	904.5572687224669
ROCK1	767.7207637231504
BDNF	1051.5005714285714
PRKCI	853.214598540146
PRKCZ	800.2491909385113
ARHGAP5	950.172335600907
VEGFA	858.9174852652259
HGF	945.9006102877071
CSNK1A1	854.2107004964148
GNAO1	873.32957457714
GNAZ	936.061122244489
STK11	942.7039187227866
GNA13	791.9261954261955
F2	848.267667844523
CAV2	992.3943661971831
CDK4	720.3909750710003
CLDN1	950.9084507042254
F11R	1140.52131147541
NECTIN2	990.8856209150326
NECTIN3	1296.703910614525
NECTIN4	1306.6607142857142
DEPDC1B	838.5902777777778
PIK3CB	785.6739543726236
PIK3CD	812.7387985396615
PIK3R2	756.4148501362398
PIK3R3	833.1529709228824
YWHAB	630.0786163522013
ARHGEF7	873.3668861712135
DAG1	716.0469798657718
LAMA3	818.8343313373254
LAMA5	764.6477024070022
LAMC1	674.5901960784314
LAMC2	932.3828920570264
MUSK	1393.509881422925
PAK3	889.0180722891566
PAK5	1017.210843373494
PAK6	1086.4934210526317
CTSG	807.1532846715329
AHCTF1	673.7751196172248
BUB1	777.4988505747126
BUB1B	867.5438247011953
BUB3	767.0703422053232
CDC20	710.2388302193339
CENPC	647.8447893569845
CENPF	662.8862660944206
CENPH	653.0133928571429
CENPI	647.3242630385488
CENPK	648.192393736018
CENPL	647.3242630385488
CENPM	647.3242630385488
CENPN	647.3242630385488
CENPO	638.9477124183006
CENPP	647.3242630385488
CENPQ	647.3242630385488
CENPS	699.1965566714491
CENPT	646.7484008528785
CENPU	672.3922764227642
CLIP1	635.8855534709194
DIAPH2	799.4906166219839
DSN1	676.9708737864078
ERCC6L	686.8089330024814
KNL1	646.2307692307693
KNTC1	682.6977886977887
MAD1L1	719.7203994293866
MAD2L1	756.9223007063572
MIS12	676.9708737864078
NDC80	638.6726546906187
NDEL1	638.4353448275862
NSL1	685.2156398104265
NUDC	701.693790149893
NUF2	738.9646799116998
PMF1	717.8571428571429
PPP1CC	674.4685264663806
RCC2	740.9316081330869
SGO1	695.3736501079914
SGO2	687.8461538461538
SKA1	650.9132420091324
SKA2	675.5638554216868
SPC24	679.7355163727959
SPC25	674.260663507109
SPDL1	685.1666666666666
TAOK1	707.516129032258
ZWILCH	678.643216080402
ZWINT	651.6374133949191
HAP1	541.0079239302694
LATS1	937.0707269155206
KDR	812.8604060913706
AKAP13	907.6883333333334
ARHGDIA	925.5531453362256
MAP3K11	1196.223201174743
MAP3K5	906.6781737193764
PDK1	1354.569823434992
RPS6KB1	914.7958115183246
SOS2	920.6657101865136
TNK2	1399.9587378640776
EXOC7	422.34909090909093
LCP2	712.967868338558
GDI2	465.13721413721413
APC	774.8169123351436
ARHGAP17	963.6055226824458
PLG	566.815934065934
CD44	781.4743083003953
ROCK2	842.7286585365854
TIAM1	816.8926728586172
OBSCN	910.4102564102565
CAV3	775.2993103448276
GZMA	1562.1294964028777
EFNB1	961.1422018348624
EFNB2	976.0727611940298
EFNB3	1165.8493827160494
RALBP1	944.4026622296172
CD28	1028.3578680203045
MAPK10	867.2825034578146
MAPK9	840.9781732706515
ARHGEF4	943.8737373737374
MEN1	876.3132328308208
SCRIB	983.6801346801346
SPATA13	1106.739406779661
NME1	1242.4302721088436
ARHGEF5	977.3368794326241
BCAR3	1376.3993506493507
CLDN3	1164.0901856763926
PARD6B	953.8373205741627
GRAP2	643.0845238095238
VAV2	735.6692189892802
VAV3	747.2746536267318
MAP2K3	1005.1733746130031
ARAP1	961.1769230769231
ARAP2	992.772972972973
ARAP3	1017.3257918552036
RAB1A	366.8451882845188
KALRN	767.6301369863014
GIT1	868.3255395683453
MYO9A	922.4962593516209
MYO9B	889.1615925058549
ARHGAP1	930.7854077253219
ARHGAP26	1011.2679738562091
ARHGAP11A	973.4028169014084
ARHGAP11B	936.2325581395348
ARHGAP12	1037.536
ARHGAP15	896.9241379310345
ARHGAP18	902.9232804232804
ARHGAP19	991.7295918367347
ARHGAP20	936.2325581395348
ARHGAP21	998.3549695740365
ARHGAP22	933.635838150289
ARHGAP23	936.2325581395348
ARHGAP24	1010.4415322580645
ARHGAP30	962.1186440677966
ARHGAP28	936.2325581395348
ARHGAP29	880.2522935779816
ARHGAP31	962.1186440677966
ARHGAP32	1049.3984575835475
ARHGAP33	1006.7116883116884
ARHGAP36	936.2325581395348
ARHGAP39	943.3005617977528
ARHGAP40	936.2325581395348
ARHGAP44	960.7960893854748
ARHGAP45	936.2325581395348
GMIP	931.1586021505376
ARHGEF1	951.6426426426426
ARHGAP6	1003.6275071633238
ARHGAP8	966.3262910798122
ARHGAP9	979.4322033898305
MCF2	957.7980997624703
ARHGDIG	974.1980792316926
CTNNAL1	542.0041322314049
KIAA0142	1133.6581196581196
ARHGEF16	1016.3719676549865
ARHGEF17	935.0631868131868
ARHGEF18	1024.5567567567568
CGN	987.6164383561644
PARD6A	964.6687578419071
ARHGEF19	957.0564516129032
ARHGEF2	864.9846153846154
NOD1	1114.1689373297004
TUBA1B	672.6204545454545
TUBA1C	728.0542857142857
TUBA3D	738.948275862069
TUBA3E	634.5227882037534
TUBA8	713.7880597014926
TUBAL3	676.7519685039371
ARHGEF25	1063.78612716763
ARHGEF26	936.2325581395348
ARHGEF3	934.7843665768194
GIT2	1015.7868383404864
SRGAP1	954.082788671024
ARHGEF9	843.521164021164
CDC42BPA	1233.8384615384616
PARD6G	1092.9137055837564
MAP3K1	930.637863315004
CD80	1112.5903755868544
CD86	1132.3041916167665
LAT	764.0579710144928
KTN1	695.8736842105263
GRIN2C	935.3260632497273
GRIN2D	873.2777260018639
NGEF	909.1672661870504
BPGAP1	936.2325581395348
FGD1	991.334928229665
YWHAE/FAM22A	786.891959798995
YWHAE/FAM22B	786.891959798995
GRIK2	802.4613583138173
IQGAP2	1027.1955835962144
FGD4	886.4977168949772
PLEKHG5	927.5702479338843
PRSS3	895.8977272727273
TP53BP2	1046.7359882005899
CLDN6	703.4736842105264
CLDN9	643.3561643835617
CDC42EP4	953.7104825291182
CDC42EP5	1057.3556280587275
DEPDC7	936.2325581395348
DLC1	1078.0
DNMBP	1137.576923076923
DOCK10	1024.9467849223947
DOCK11	981.6589743589743
DOCK6	982.9857512953367
DOCK7	1056.0686528497408
DOCK9	1038.8256374913854
ECT2	1014.1036866359447
F2RL2	976.7886178861788
FAM13A	936.2325581395348
FAM13B	936.2325581395348
FARP2	1023.3329129886507
FGD2	950.4129213483146
FGD3	956.02
GRIK1	921.089709762533
GRIK3	981.2911611785096
GRIK4	965.8117647058823
GRIK5	904.811475409836
GRIN3A	1033.2250554323725
INPP5B	926.7523277467411
ITSN2	1120.290780141844
LIMK2	1273.4915254237287
MAP3K9	978.8011560693642
MCF2L	1012.3964757709251
NET1	939.2398921832884
OPHN1	970.2204899777283
PLEKHG2	933.9482352941177
PREX1	1033.823056300268
S1PR4	1221.1051964512042
SRGAP3	971.644385026738
STARD13	852.0161725067386
STARD8	933.7739130434783
TAGAP	936.2325581395348
TIAM2	970.1208791208791
CLDN10	671.4057971014493
CLDN18	671.4057971014493
CLDN11	669.1538461538462
CLDN14	1104.5714285714287
CLDN15	1104.5714285714287
CLDN16	689.5176470588235
CLDN19	646.3733333333333
CLDN17	1104.5714285714287
CLDN2	714.9234972677596
CLDN20	1104.5714285714287
CLDN22	1104.5714285714287
CLDN23	1104.5714285714287
CLDN24	1104.5714285714287
CLDN25	1104.5714285714287
CLDN4	683.3246753246754
CLDN8	689.5176470588235
CLDN5	1299.3902743142144
CLDN7	706.9583333333334
PRSS2	727.3365384615385
PRSS1	700.9375
FRMD4A	776.125
FRMD4B	787.6388888888889
JAM2	918.1959654178675
JAM3	826.2056737588653
MTSS1	1130.3490566037735
INSC	981.5835866261398
A1CF	1126.215210355987
MMP1	880.5681818181819
MMP13	945.5726681127983
MMP2	803.2106918238994
MMP3	1040.7803738317757
RHOB	616.6840277777778
RHOBTB1	533.8932038834952
RHOBTB2	533.8932038834952
RHOC	567.3249516441006
RHOD	761.0390625
RHOF	533.6328502415458
RHOG	588.3172932330828
RHOH	772.6654676258993
RHOJ	644.1859649122807
RHOQ	499.9123102866779
RHOT1	522.550925925926
RHOT2	608.8755020080321
RHOU	862.9266055045872
RHOV	553.9587155963303
BANF1	770.2088607594936
CCNB1	702.0135440180587
CCNB2	684.9522431259045
CDK1	658.7255697783328
GCK	867.8517520215634
GCKR	779.75
GEMIN2	779.2649164677804
GEMIN4	702.6796116504854
GEMIN5	787.417808219178
GEMIN6	734.3460207612457
GEMIN7	720.483870967742
GEMIN8	747.4233576642335
GLE1	790.2579957356077
HIKESHI	759.218253968254
IPO8	753.3401360544218
NEK6	806.7668810289389
NEK9	722.7403846153846
NPM1	661.9266155531216
PSIP1	854.2739726027397
RAE1	667.3396739130435
SLBP	812.1705607476636
SNUPN	710.8157894736842
SP100	834.9419087136929
SUMO3	841.4789915966387
XPOT	776.1954022988506
CASP3	679.1642929806715
CASP7	713.7995824634655
AAK1	801.2473684210527
ADRB2	920.1327742837177
AGFG1	858.3249097472924
AMPH	803.4058577405858
AP2A1	674.0388349514564
AP2A2	701.8906882591093
AP2B1	711.5489404641776
AP2M1	689.9718719689622
AP2S1	726.2197055492638
ARF6	731.4526958290946
AVPR2	936.6082995951417
BIN1	811.0163776493256
CD3D	803.153
CD3G	730.5532567049809
CD4	828.3703703703703
CHRM2	951.4384313725491
CLTA	676.5571955719557
CLTB	734.9959349593496
CTTN	732.0578947368421
DAB2	790.0921810699589
DNAJC6	832.8137931034482
DNM2	743.2355430183356
EPN1	851.7802359882006
EPN2	887.2669683257918
EPS15	778.3164556962025
EPS15L1	978.7104761904762
FCHO1	882.9115442278861
FCHO2	892.5669456066946
FNBP1	785.0707547169811
FNBP1L	799.0627009646303
FZD4	881.8428981348637
GAK	824.5564738292011
GAPVD1	816.1010248901904
HGS	674.8472906403941
HIP1	756.2161820480404
HIP1R	814.4003215434084
IGF2R	685.9458598726114
KIAA0319	879.2603773584906
LDLR	763.9310344827586
LDLRAP1	770.2213541666666
M6PR	700.2455516014235
NECAP1	844.7155425219942
PACSIN2	841.0235934664247
PICALM	944.875
PIK3C2A	909.354248366013
RAB5A	658.6513452914799
REPS1	853.3311688311688
REPS2	977.9979716024341
SCARB2	857.7492537313433
SGIP1	823.6660682226212
SLC18A3	705.5191637630662
SLC2A8	870.0272373540856
SNX9	802.0347003154574
STAM	955.5990712074304
STAM2	839.6765899864682
STON2	752.3621495327103
SYNJ1	793.5017921146954
SYNJ2	824.910780669145
SYT2	657.9841772151899
SYT9	759.6232876712329
TF	816.2671875
TFRC	944.3562176165804
TGOLN2	733.1591928251121
VAMP8	585.5251798561151
WNK1	1107.4722222222222
WNT5A	901.9960095770151
ASNS	1471.7970204841713
AARSD1	879.8504273504274
AASDHPPT	722.3145631067961
NGF	918.2266462480858
AATK	1210.2692939244664
ABCC2	1071.0342205323193
RDX	691.1634615384615
CACNA1A	1026.6750483558994
CACNA1B	1032.6725082146768
CACNA1G	798.4809782608696
RAPGEF3	1190.5217391304348
RAPGEF4	1089.1187925998051
MSN	653.0053475935829
PDE12	1021.3913443830571
SMC1A	671.738299904489
ABI1	967.5518102372035
ABL2	1029.3805309734514
BRK1	1000.9736211031175
CBLB	996.6348373557188
CYFIP1	847.9965635738831
CYFIP2	814.9016393442623
FER	1083.311345646438
FES	1221.3241852487135
FGR	849.293023255814
FRK	1412.754074074074
INPPL1	1152.8924242424243
ITGA4	658.9365284974093
NCF1	997.9093333333333
NCKAP1	965.6370370370371
NCKAP1L	954.5752212389381
RASA1	828.8608695652174
USP6NL	1309.3819444444443
VCAM1	1018.3450807635829
WASF1	804.5206463195691
WASF2	847.4551724137931
WASF3	939.1067615658363
ABI2	854.5025906735751
EFS	1121.6089494163425
ADAM15	1244.5617283950617
AIRE	1404.5318761384335
AKAP6	1544.279761904762
BARGIN	1169.437252311757
BLK	827.4148681055156
CABLES1	1324.902807775378
CABLES2	1173.0740291262136
CAP1	743.115468409586
CAP2	883.4387464387464
CCKBR	1175.3307573415766
CCNA2	1123.4346201743463
CD19	1073.1561712846349
CD2AP	1096.0305555555556
CDKL5	1056.8470588235293
CNTNAP1	1342.8064516129032
CSF1	1070.7755813953488
CSF1R	963.4421930870084
DDX41	1191.3906510851418
DKKL1	1200.9809825673533
DLX4	1268.5863095238096
DNM1	769.7311212814645
DOK1	966.2567567567568
DOK2	1075.4539007092199
EFNA5	1207.0102739726028
EPHA1	1171.3723723723724
EPHA2	932.8102189781022
EPHA3	1142.1052631578948
EPHA4	1017.0593607305937
EPHA5	1143.6963788300836
EPHA6	1147.0
EPHA7	1136.7246835443038
EPHA8	1301.0733333333333
EPHB1	973.4170403587444
EPHB4	958.599164926931
EPHB6	1019.0416666666666
ERBB2	795.8401375161152
ERBB3	829.6013021830717
ERBB4	851.8774852229984
FMN1	1117.3712871287128
FYB1	1191.3341463414633
GPX1	1149.7125506072875
HCK	837.6443786982248
LRP8	833.6992481203008
LRRK1	1509.9464788732394
MAP4K1	1045.8208469055376
NEDD9	1074.0494148244472
NEK8	1149.3746835443037
NKX2-1	1196.1422818791946
NR2C2	1234.9585921325051
NRP1	1005.0565371024735
NTRK3	1178.3183856502242
PARK7	916.4929881337648
PDE4D	1207.058016877637
PDGFB	844.1187192118226
PDGFRB	782.400875273523
PRKCD	813.9772288691624
PRKD1	1036.7336523125996
PTPN1	899.6856031128405
RAPGEF1	1095.1837209302325
RELN	1027.9341463414635
RET	1016.7085377821394
RIN3	926.444976076555
ROBO2	1151.5311688311688
ROS1	979.6932330827068
RTN4	1177.8851851851853
SCARF2	1382.0610687022902
SELENON	1386.7346153846154
SH3BP1	1189.0096774193548
SH3BP2	1135.4040219378428
SHC2	1152.8042414355627
SHC3	943.7225609756098
SHC4	1062.3017127799737
SLIT1	1038.8034482758621
SMC3	689.2322322322323
SNCA	848.5030534351145
SNX12	1053.689366786141
SNX17	1402.5733333333333
VPS13A	1162.5815789473684
WNK2	989.9326530612245
ZNF274	1367.3150183150183
MAP3K10	1255.3666666666666
SSX2IP	835.2182410423453
ERBIN	1249.7014388489208
ABRAXAS2	1385.5313901345291
PEX7	961.3588621444202
MMP12	876.450354609929
MMP14	817.1497418244406
MMP20	738.6784741144414
MMP7	786.1776765375854
MMP8	794.4082687338502
MMP9	816.1164807930608
ACAP1	1247.4661354581674
PLD2	1022.7194860813704
SLC2A4	916.8325791855203
ACAP2	1242.6482412060302
PFDN4	826.1349693251534
RAD21	651.7069518716578
STAG1	800.4871794871794
STAG2	708.839537869063
ACE	1694.6497584541062
AGTR2	1060.2969334330592
MYH9	655.7115987460814
COLQ	958.0322580645161
LAMB1	655.375939849624
API5	1021.9668508287293
CXCL1	1065.3620071684588
CXCL5	1071.9712837837837
PF4	971.7551867219917
VWF	920.1606805293005
CCL27	1052.3414179104477
CCL28	1013.6816239316239
CXCL16	1015.9149888143177
FPR2	1029.6860879904875
PIK3CG	936.1116751269036
PECAM1	992.4696859021184
CXCL13	937.876923076923
MYL6	692.7286527514232
MYL6B	695.8546255506608
MYO16	1350.1348773841962
ACP1	1402.878787878788
DUSP1	1298.9583333333333
DUSP12	1230.1649484536083
DUSP2	1443.0807692307692
EFNA1	982.2591522157996
ACTN1	557.8820403825717
ADAM17	984.761413843888
AFDN	900.580118694362
CFL1	678.3475609756098
GSN	1192.2318104906938
IFT57	561.8598484848485
MB	865.3860759493671
MMP15	863.7216748768473
MMP16	924.6422182468694
MMP19	830.5798687089715
MMP21	894.6266375545852
MMP23B	894.6266375545852
MMP24	935.9038112522686
MMP25	911.4848484848485
MMP27	894.6266375545852
MMP28	976.952380952381
MYH1	736.2140077821011
MYH10	781.3511627906977
MYH11	766.4861751152074
MYH13	695.4584980237154
MYH2	663.6342710997443
MYH3	849.2906574394464
MYH4	725.3089430894308
MYH6	632.7720930232558
MYH7	852.8245614035088
MYH7B	723.7381974248927
MYH8	580.9948186528497
PPP1R9B	1222.5661016949152
UTRN	675.6535947712418
ALOX12	873.4120879120879
CCT5	727.8733333333333
CNN1	787.1881720430108
CNN2	760.1164021164021
EDNRA	1034.3409290096406
MYL10	709.0569105691056
MYL12A	784.869109947644
MYL12B	712.4129213483146
MYL5	709.0569105691056
MYL7	709.0569105691056
MYL9	715.6129032258065
MYLK	996.4740406320542
MYLPF	1006.7425742574258
PALLD	833.3427230046948
PXN	762.1951681667456
ACTR3B	876.6559485530547
ACTR3C	867.1695238095238
ANK3	613.9104477611941
B2M	785.0788804071246
CCT6A	887.2303921568628
CDC37	993.8568568568569
CDK5R2	1017.7894736842105
CFL2	742.650406504065
COTL1	879.8582834331337
DKFZP686A1195	568.45
DKFZP686D0714	761.8120805369127
DSTN	696.735
EVL	1187.2277657266811
FMNL3	842.3984575835476
FSCN1	932.6556818181818
FSCN2	868.262156448203
FSCN3	868.262156448203
GRLF1	1030.2345058626465
HCLS1	854.36276849642
ITGA2	817.1762261014131
ITGA2B	697.5046357615894
ITGA3	610.0136752136752
ITGA6	706.5080091533181
ITGAE	735.90234375
ITGAL	795.023842917251
LCP1	917.1578947368421
MAP1A	682.0409356725146
METAP1	916.9248291571754
MGMT	892.5279034690799
MLLT4	931.6428571428571
MYH14	1007.763671875
MYH15	948.0699815837937
MYO10	814.253438113949
MYO1A	898.5847457627119
MYO1B	919.8574610244989
MYO1D	919.8574610244989
MYO1E	964.5771428571428
MYO1F	825.8659090909091
MYO1G	914.0049261083744
MYO1H	919.8574610244989
MYO5B	759.5492227979274
MYO5C	919.8574610244989
MYO6	973.3051282051282
NUS1	949.1896551724138
PFDN1	723.6766467065868
PFDN2	867.5203619909503
PFDN6	891.6766169154229
PFN1	1025.5966183574878
PFN2	968.6869565217391
PFN3	818.2037617554859
PFN4	788.6
PIP5K1C	916.7537313432836
PTK2B	709.189366786141
PWP1	908.7461240310078
SETSIP	828.4067796610169
SYNPO	931.9014267185473
TJP1	528.9362880886426
TMSB4X	833.5145631067961
TMSB4Y	857.7135506003431
TWF1	727.5130641330167
TWF2	1116.3793911007026
UBASH3B	1202.0718475073313
VBP1	814.5596026490066
WDR1	841.509900990099
ZYX	892.2172949002218
TMOD3	1052.8923512747876
FHOD1	1286.8994974874372
PPP1R9A	940.813063063063
VIL1	958.44
PDCL	1071.7311258278146
CAPN1	976.6287878787879
CSK	848.9945945945946
DKFZP666O0110	893.1449459631277
HEL-S-105	1207.3450980392156
ILK	827.0440860215053
KIRREL1	1155.384288747346
LPP	892.6948529411765
NPHS1	1039.7767527675276
PIP4K2A	1109.1670822942644
PIP4K2B	1067.6129032258063
PIP4K2C	1218.5891238670695
PIP5K1A	929.2638376383763
PIP5K1B	1093.497619047619
STM7	1104.3591954022988
ADAM12	1246.5385826771653
DLG1	768.6161073825504
DLG2	771.6894736842105
DLG3	676.445
DST	771.253807106599
GRIA2	986.211356466877
GRIA3	993.0388349514564
GRIA4	938.7947805456703
HRAS	781.6664845670582
KCNA5	1158.8056994818653
KRAS	843.0422077922078
LRRC7	1280.4275534441806
NEFL	979.118670886076
NOS3	971.2875
NRAS	828.7737495803962
NRG1	1103.8939890710383
ACTR1B	685.2778730703259
ARCN1	480.25418994413405
BICD1	741.0255319148936
CAPZA1	653.9241293532339
CAPZA2	497.974
CAPZA3	496.9451476793249
COPA	466.8979591836735
COPB2	493.73085846867747
COPE	472.13927576601674
COPG1	475.8698060941828
COPG2	467.18005540166206
COPZ1	487.03125
COPZ2	487.51594202898553
DCTN1	496.13284804367606
FKBP4	774.2249589490968
GALNT1	694.7982261640798
GALNT2	678.2926267281106
HLA-DPA1	643.1894024802706
HLA-DPB1	656.1216374269006
HLA-DQA1	628.5910973084887
HLA-DQA2	686.0608591885441
HLA-DQB1	657.4842696629213
HLA-DQB2	583.0966386554621
HLA-DRA	784.6973509933774
HLA-DRB1	714.4673913043479
HLA-DRB3	676.6919315403424
HLA-DRB4	675.7693236714975
HLA-DRB5	681.2608158220024
KDELR1	471.8196721311475
KIF11	747.9559633027523
KIF15	621.4664948453608
KIF23	671.1204013377926
NR3C2	969.3018867924528
OSBPL1A	654.8308457711443
PGR	1017.0807291666666
RAB18	647.4202586206897
RAB3GAP1	641.9642857142857
RAB3GAP2	587.0858585858585
RAB7A	426.72105263157897
RILP	542.1179361179361
SPTBN2	521.3887884267631
SPTBN5	608.7627551020408
TMED3	487.7067448680352
TMED7	487.7067448680352
TMED9	475.6849710982659
BORA	787.7253384912959
NEK2	748.9795918367347
TUBB	561.5592841163311
TUBB4A	519.6639344262295
TUBB4B	537.683836589698
ALAD	879.9684210526316
CD247	733.9851729818781
EFHD2	882.9828767123288
FCGR1A	788.4832432432432
FCGR2A	738.2337228714524
FCGR3A	796.0253748558247
GAB1	848.2813008130081
HEL-S-275	997.1551312649165
IGHG1	693.930648769575
IGHG2	689.2972350230415
IGHG3	715.891129032258
IGHG4	689.2972350230415
IGHV	711.7737226277372
IGHV1-2	710.3254545454546
IGHV1-46	710.3254545454546
IGHV1-69	708.2604735883424
IGHV2-5	698.1985688729875
IGHV2-70	698.1985688729875
IGHV3-11	709.7038391224863
IGHV3-13	709.7038391224863
IGHV3-23	709.7038391224863
IGHV3-30	709.7038391224863
IGHV3-33	709.7038391224863
IGHV3-48	709.7038391224863
IGHV3-53	709.7038391224863
IGHV3-7	709.7038391224863
IGHV3-9	709.7038391224863
IGHV4-34	698.1985688729875
IGHV4-39	698.1985688729875
IGHV4-59	698.1985688729875
IGHV7-81	711.7737226277372
